r R_0 R_1 R_2
0.1 0.0327492301231193 0.00408307884888727 0.00120922160446717
0.2 0.107251207365702 0.0132634381998633 0.00392210254608257
0.3 0.19757218899385 0.0240858523999144 0.00710342930714947
0.4 0.287570537035022 0.0343203863570247 0.0100816768415573
0.5 0.367879441171442 0.0426466870110445 0.0124591190897668
0.6 0.433719665153571 0.0484051863034931 0.0140395802708644
0.7 0.483330049325549 0.0514027862587083 0.0147708909408134
0.8 0.516855086066318 0.0517626966663039 0.0146995446378018
0.9 0.535568397837941 0.0498098654389702 0.0139354250636995
1 0.541341132946451 0.0459849301464303 0.0126247973180803
1.1 0.536287286473696 0.0407808686415609 0.0109300360202147
1.2 0.522535410947016 0.0346975732122857 0.00901480379801638
1.3 0.502089388728897 0.0282104472264332 0.00703360050725486
1.4 0.476750890981709 0.0217498522196497 0.00512478100193417
1.5 0.448083615310776 0.0156888393854365 0.0034062911219578
1.6 0.41740496873847 0.0103371017213264 0.00197350115183336
1.7 0.385795000741369 0.00593949807576453 0.000898626281584073
1.8 0.354115442916912 0.0026778419891897 0.000231317154748572
1.9 0.323033945603031 0.000674928394242139 8.26855364432313E-08
2 0.293050222219747 0 0.000214273952641956
2.1 0.264521975113227 0.000675041060744564 0.000866413866198395
2.2 0.237689300523405 0.00268143643236848 0.00193470397196057
2.3 0.212696844356447 0.00596665443705337 0.0033855785239245
2.4 0.189613372009421 0.0104507082189403 0.00517620797304934
2.5 0.168448674977137 0.0160322262937302 0.00725688028480954
2.6 0.149167901937371 0.0225940224928004 0.00957320987890104
2.7 0.131703500286585 0.0300081015072075 0.0120681412312816
2.8 0.115965006148905 0.0381400712785367 0.0146837279406498
2.9 0.101846941634442 0.0468529596682815 0.0173626788980115
3 0.0892350783599889 0.0560104519138469 0.0200496715906093
3.1 0.078011313659208 0.0654795787940662 0.0226924389334634
3.2 0.0680573859092044 0.0751328943729246 0.0252426407068673
3.3 0.0592576317155862 0.0848501876461451 0.0276565339883694
3.4 0.0515009628363437 0.0945197751816356 0.0298954591599944
3.5 0.0446822163121713 0.104039422572207 0.0319261593635783
3.6 0.0387030083062471 0.113316941733412 0.0337209518531141
3.7 0.0334722011994554 0.122270509203144 0.0352577697076982
3.8 0.0289060747955297 0.130828747969228 0.0365200919515422
3.9 0.0249282761211302 0.138930612232171 0.0374967793864055
4 0.0214696081857608 0.146525111109873 0.0381818324658752
4.1 0.0184677060449268 0.153570903768863 0.0385740864034401
4.2 0.0158666383940595 0.160035794943502 0.0386768574669013
4.3 0.0136164644996542 0.165896156369662 0.038497553118427
4.4 0.0116727693353937 0.171136296376852 0.0380472573507743
4.5 0.00999619413102104 0.175747796796411 0.0373403012758979
4.6 0.00855197497149157 0.179728833481197 0.0363938277654293
4.7 0.00730949843258403 0.18308349410955 0.0352273577406401
4.8 0.00624188035499709 0.185821104569233 0.0338623645749905
4.9 0.00532557160946628 0.187955573083954 0.0323218620137269
5 0.00453999297624849 0.189504759349279 0.030630010037523
5.1 0.00386719995589654 0.190489874275585 0.0288117422035147
5.2 0.00329157736218894 0.190934914479835 0.0268924171878207
5.3 0.0027995628534317 0.190866134410403 0.0248974965276729
5.4 0.00237939807787909 0.190311557914116 0.022852249916238
5.5 0.00202090579561972 0.18930053014573 0.0207814888357381
5.6 0.00171529115447902 0.187863309961226 0.0187093288205413
5.7 0.00145496521014312 0.186030702311785 0.0166589802169504
5.8 0.00123338876578948 0.183833729650168 0.0146525669456277
5.9 0.0010449346440953 0.181303340961198 0.0127109724709535
6 0.000884766578879262 0.178470156719978 0.0108537119340647
6.1 0.000748733012562467 0.175364247853143 0.00909882920786198
6.2 0.000633274199670691 0.172014946618554 0.00746281747801345
6.3 0.000535341138571936 0.168450687217391 0.00596056183921801
6.4 0.000452324978202575 0.164698873900275 0.00460530231623027
6.5 0.000381995669779798 0.160785774317734 0.00340861567014309
6.6 0.000322448752666671 0.156736435887726 0.00238041432820476
6.7 0.000272059276776442 0.152574623002533 0.00152896077631119
6.8 0.000229441969988793 0.14832277296867 0.000860895773850921
6.9 0.000193416857337714 0.144001968661345 0.000381278787661182
7 0.000162979628944299 0.139631925975535 9.36390926227232E-05
7.1 0.000137276135819939 0.135230994264939 3.6048304256114E-08
7.2 0.000115580466971715 0.130816168075115 0.00010112713173836
7.3 9.72761280582414E-05 0.126403108595243 0.000396242383800972
7.4 8.18399016170067E-05 0.122006173372015 0.000883464008935511
7.5 6.88280221129108E-05 0.117638452947459 0.00155970995349201
7.6 5.78643462662573E-05 0.113311813198476 0.00242082037532607
7.7 4.86302408352125E-05 0.109036942268426 0.0034616460052986
7.8 4.08559467699744E-05 0.104823401089353 0.00467613748888117
7.9 3.43132109198297E-05 0.100679676596675 0.00605743488231593
8 2.88090047281303E-05 0.0966132368359234 0.00759795656195309
8.1 2.41801740302354E-05 0.0926305872530599 0.00928948688688052
8.2 2.02888855777411E-05 0.0887373275458734 0.0111232620332725
8.3 1.70187546163252E-05 0.0849382085338297 0.0130900534936248
8.4 1.42715540775422E-05 0.0812371885775848 0.0151802488049144
8.5 1.19644200072891E-05 0.0776374891472568 0.017383929136517
8.6 1.0027480014621E-05 0.0741416492006169 0.0196909434312778
8.7 8.40184202420809E-06 0.0707515780888408 0.0220909788514055
8.8 7.0378896672163E-06 0.0674686067585756 0.024573627334801
8.9 5.89383843732951E-06 0.0642935370650921 0.0271284481170836
9 4.93451343728689E-06 0.0612266890525039 0.0297450261199963
9.1 4.13031529275216E-06 0.0582679460937196 0.0324130261481486
9.2 3.45634574258121E-06 0.0554167978152654 0.0351222428733382
9.3 2.89166863947156E-06 0.0526723807606701 0.037862646619101
9.4 2.41868571009272E-06 0.0500335167710376 0.04062442498786
9.5 2.02260951395095E-06 0.047498749083035 0.0433980203992516
9.6 1.69101867908414E-06 0.045066376163079 0.0461741636310804
9.7 1.41348274402853E-06 0.0427344833122842 0.0489439034741009
9.8 1.18124585454199E-06 0.040500972089991 0.0516986326286412
9.9 9.86960197968582E-07 0.0383635876146762 0.0544301099851565
10 8.24461448975423E-07 0.0363199438099879 0.057130479442354
10.1 6.88579683057779E-07 0.0343675466707556 0.0597922854257353
10.2 5.7498021910366E-07 0.0325038156293104 0.0624084852764677
10.3 4.8002970554421E-07 0.030726103106493 0.0649724586856067
10.4 4.00683488582643E-07 0.0290317123345064 0.0674780143520135
10.5 3.34390914870915E-07 0.0274179135404369 0.0699193940440458
10.6 2.79015741200236E-07 0.025881958579976 0.072291274245383
10.7 2.32769264314831E-07 0.0244210941107546 0.0745887655643553
10.8 1.94154156824922E-07 0.0230325733938696 0.0768074100840242
10.9 1.61917310601958E-07 0.0217136668107593 0.0789431768271424
