r R_0 R_1 R_2
0.1 0.0325975173187274 0.00408888843384988 0.00123914329547502
0.2 0.106789790662592 0.0132848013740517 0.00401976923862683
0.3 0.196787485372297 0.024129585408004 0.00728153773805748
0.4 0.286523451605948 0.0343904408285163 0.0103363761203576
0.5 0.366661590548383 0.0427444007382862 0.0127765222028067
0.6 0.432427328876554 0.0485296391178643 0.0144006037645912
0.7 0.482049827901214 0.0515512165348285 0.015154754870386
0.8 0.515657153041256 0.0519309251755429 0.0150862086787415
0.9 0.534504433076018 0.0499927071258764 0.01430719054742
1 0.540445013005362 0.0461765736542659 0.0129672649972036
1.1 0.535577226931192 0.0409752121689176 0.0112325750250581
1.2 0.522016757041738 0.0348885108243551 0.00927065752499933
1.3 0.501757506262374 0.0283921060214155 0.00723973384635274
1.4 0.476593886131793 0.0219167788571816 0.0052815483482496
1.5 0.448084720084264 0.0158361417219088 0.00351699158232776
1.6 0.417544536097945 0.0104605475252528 0.00204387103516109
1.7 0.386052084430851 0.0060355770166827 0.000936307288288167
1.8 0.354469024106835 0.0027437950681067 0.000245329693054778
1.9 0.323463812322387 0.00070875088388283 3.25120041794091E-07
2 0.293537581943336 4.2221799580696E-07 0.000211062432561438
2.1 0.265049829815634 0.000641491574891064 0.000870072319046395
2.2 0.238242656273479 0.002613992082171 0.00195520963967924
2.3 0.213262772959955 0.00586598065237916 0.00343226518510733
2.4 0.190180981788081 0.0103179934768377 0.00525752683914731
2.5 0.169009003711095 0.0158691120866536 0.0073802160214977
2.6 0.149713769437115 0.0224025329402647 0.00974474928165704
2.7 0.132229330109117 0.0297905733431296 0.0122927893532898
2.8 0.116466642531019 0.0378990863948513 0.0149650673751264
2.9 0.102321455023832 0.0465912797318333 0.0177029669128584
3 0.0896805873837392 0.0557309600096458 0.0204498697240627
3.1 0.0784268082095735 0.065185222600558 0.0231522704746554
3.2 0.0684425740832867 0.074826637451689 0.0257606701429069
3.3 0.059612793946453 0.084534965946724 0.0282302647749845
3.4 0.0518268302547106 0.0941984563938328 0.0305214441993475
3.5 0.0449798625274675 0.103714775514564 0.0326001212872092
3.6 0.0389737555788923 0.112991606800257 0.0344379093586596
3.7 0.0337175436440633 0.12194697744405 0.0360121657470042
3.8 0.0291276126028875 0.130509342034534 0.0373059225789929
3.9 0.0251276653547877 0.138617473616114 0.0383077194691493
4 0.0216485156499422 0.146220190451528 0.0390113570488565
4.1 0.0186277790219515 0.15327595555347 0.0394155861761158
4.2 0.0160094777709949 0.159752375970747 0.0395237462499149
4.3 0.0137436067225001 0.16562562421067 0.0393433672898534
4.4 0.0117856728057307 0.170879814071468 0.0388857455049574
4.5 0.010096230862072 0.175506337289498 0.0381655048598648
4.6 0.00864042548644313 0.179503186776508 0.0372001513463381
4.7 0.007387549321545 0.182874274414201 0.0360096289478096
4.8 0.00631062502091344 0.185628762184552 0.0346158848923828
4.9 0.00538601145912791 0.187780400564456 0.0330424463877841
5 0.00459304128621466 0.189346907427281 0.031314018891341
5.1 0.00391368545233427 0.190349358228845 0.0294561028800389
5.2 0.00333224924690292 0.190811629806266 0.0274946382840945
5.3 0.00283509578180899 0.190759865750846 0.0254556729589099
5.4 0.00241039794493429 0.190221991792407 0.0233650620258522
5.5 0.00204791454305359 0.18922726553284 0.0212481938589724
5.6 0.00173879239164956 0.18780587031395 0.019129747278617
5.7 0.00147538920255667 0.185988544222861 0.0170334764597027
5.8 0.00125111753899891 0.183806254666782 0.0149820252792351
5.9 0.00106030634540201 0.181289904786296 0.0129967690337658
6 0.00089808003882068 0.178470077397099 0.0110976836078156
6.1 0.000760251793881897 0.175376814137463 0.00930323954379458
6.2 0.00064323012640629 0.17203942695841 0.00763032057179119
6.3 0.000543937894304386 0.168486336071864 0.00609416455000421
6.4 0.000459741112486262 0.164744937514366 0.00470832518321404
6.5 0.000388387610244428 0.160841498080641 0.00348465344831966
6.6 0.00032795307888962 0.156801068157689 0.0024332961151981
6.7 0.000276795271914363 0.152647421178553 0.00156271048760829
6.8 0.000233513563345259 0.148403006673493 0.000879692954066975
6.9 0.000196914521803762 0.144088923785277 0.000389420379869861
7 0.000165981965631097 0.139724907591761 9.55022357425373E-05
7.1 0.000139851371629938 0.135329329519839 4.23453293494729E-08
7.2 0.000117787786444018 0.130919208661996 0.000103708415220789
7.3 9.91667674141291E-05 0.126510231923527 0.000405808243862725
7.4 8.34582137507713E-05 0.122116784971916 0.000904371202703097
7.5 7.02123212252544E-05 0.117751986018916 0.00159623384153416
7.6 5.90477342200725E-05 0.113427731497919 0.00247712841385509
7.7 4.96412437115263E-05 0.109154738845769 0.00354177340442643
7.8 4.17191633524283E-05 0.104942598888642 0.00478396498279363
7.9 3.504981691743E-05 0.100799829036948 0.00619666885147056
8 2.94372269836304E-05 0.0967339272398337 0.00777211110287579
8.1 2.47156613058539E-05 0.0927514281660252 0.00950186846241393
8.2 2.07450853712174E-05 0.0888579609544357 0.0113769558754353
8.3 1.74071982512704E-05 0.0850583042179528 0.0133879121692156
8.4 1.46021388000438E-05 0.0813564445572861 0.015524883067457
8.5 1.2245622975389E-05 0.0777556298760704 0.0177777003128665
8.6 1.02665650709886E-05 0.0742584249655995 0.0201359581262862
8.7 8.60502339862697E-06 0.0708667635235371 0.022589084955179
8.8 7.21047773677857E-06 0.067582000221149 0.0251264122464038
8.9 6.04037601152205E-06 0.0644049596199048 0.0277372379072614
9 5.05887544708461E-06 0.0613359827377717 0.0304108869356344
9.1 4.23581617463153E-06 0.0583749738262145 0.0331367666456371
9.2 3.54580464027461E-06 0.0555214407787143 0.0359044176282746
9.3 2.9674988312205E-06 0.052774538595032 0.038703561397978
9.4 2.48293565833602E-06 0.0501331055139807 0.0415241424718792
9.5 2.07702943608973E-06 0.0475957009824252 0.0443563670532491
9.6 1.73709169792739E-06 0.0451606376053831 0.0471907377843231
9.7 1.45247667633533E-06 0.0428260143988117 0.0500180836116204
9.8 1.21423629872722E-06 0.0405897451754167 0.0528295865873519
9.9 1.01486246765446E-06 0.0384495864991811 0.0556168048039424
10 8.48051435259791E-07 0.0364031631171278 0.0583716917606499
