x y z qspline int_qspline der_qspline
1 0.54030230586814 1.2 0.343143207212136 0.088295640723253 -0.978458905563836
2 -0.416146836547142 1.4 0.148918743642605 0.137452925223952 -0.963785730131467
3 -0.989992496600445 1.6 -0.0423710848404513 0.148058780519393 -0.949112554699097
4 -0.653643620863612 1.8 -0.230726278237034 0.12070013362687 -0.934439379266728
5 0.283662185463226 2.2 -0.586263255562772 -0.0447383250390215 -0.781397986321936
NaN NaN 2.4 -0.728706031075917 -0.176696481094598 -0.643029768809514
NaN NaN 2.6 -0.843475163086578 -0.334375827902556 -0.504661551297092
NaN NaN 2.8 -0.930570651594754 -0.512241636762397 -0.36629333378467
NaN NaN 3.2 -1.01300656017453 -0.905811449973802 -0.00221551946861501
NaN NaN 3.4 -0.990878704387891 -1.10695234175272 0.223494077335017
NaN NaN 3.6 -0.923608929240525 -1.29915347043824 0.44920367413865
NaN NaN 3.8 -0.811197234732432 -1.47338645215822 0.674913270942282
NaN NaN 4.2 -0.472051729771192 -1.73324134868876 0.915296043178284
NaN NaN 4.4 -0.287525203592298 -1.80924795260988 0.929969218610654
NaN NaN 4.6 -0.100064042326931 -1.84805578778658 0.944642394043023
NaN NaN 4.8 0.0903317540249107 -1.84907792720155 0.959315569475392
