x y z qspline int_qspline der_qspline
1 1 1.2 1.44 0.242666666666667 2.4
2 4 1.4 1.96 0.581333333333333 2.8
3 9 1.6 2.56 1.032 3.2
4 16 1.8 3.24 1.61066666666667 3.6
5 25 2.2 4.84 3.216 4.4
NaN NaN 2.4 5.76 4.27466666666667 4.8
NaN NaN 2.6 6.76 5.52533333333333 5.2
NaN NaN 2.8 7.84 6.984 5.6
NaN NaN 3.2 10.24 10.5893333333333 6.4
NaN NaN 3.4 11.56 12.768 6.8
NaN NaN 3.6 12.96 15.2186666666667 7.2
NaN NaN 3.8 14.44 17.9573333333333 7.6
NaN NaN 4.2 17.64 24.3626666666667 8.4
NaN NaN 4.4 19.36 28.0613333333333 8.8
NaN NaN 4.6 21.16 32.112 9.2
NaN NaN 4.8 23.04 36.5306666666667 9.6
